      Star               S/N    ab(Cr)  [Cr/Fe]   ab(Mn)  [Mn/Fe]   ab(Co)  [Co/Fe]   ab(Ni)  [Ni/Fe]   ab(Zn)  [Zn/Fe]    ab(Y)   [Y/Fe]   ab(Zr)  [Zr/Fe]   ab(La)  [La/Fe]   ab(Ce)  [Ce/Fe]   ab(Nd)  [Nd/Fe]   ab(Sm)  [Sm/Fe]   ab(Eu)  [Eu/Fe]
        HE2252-4157       70      0.86    -2.88     0.42    -3.05     1.22    -1.77     1.40    -2.93     2.36    -0.32    -1.34    -1.65     0.30    -0.37    -1.05    -0.30    -0.08     0.27    -0.57    -0.14    -0.04     0.88    -1.75    -0.33
        HE2252-4225       68      0.39    -2.45     7.18     4.62     0.90    -1.19     1.01    -2.41     1.97     0.20    -1.97    -1.38    -0.28    -0.05    -1.69    -0.03    -0.87     0.37    -1.29     0.04    -0.80     1.02    -2.54    -0.23
        HE2258-3456       51      0.91    -1.79     0.48    -1.94     1.37    -0.59     1.52    -1.77     2.32     0.68    -1.60    -0.87    -0.08     0.28    -1.33     0.47    -0.47     0.92    -0.88     0.59    -0.44     1.52    -2.10     0.36
        HE2259-3407       54      2.18    -1.20     1.93    -1.16     2.63     0.00     2.93    -1.02     3.19     0.88    -0.01     0.05     1.54     1.23     0.40     1.53     1.17     1.88     0.89     1.69     1.21     2.50    -0.38     1.41
        HE2301-4024       55      1.64    -1.92     1.46    -1.82     2.11    -0.70     2.31    -1.83     2.86     0.37    -0.49    -0.62     1.16     0.67    -0.08     0.86     0.67     1.20     0.37     0.98     0.69     1.79    -0.84     0.76
        HE2301-4126       55      1.79    -1.51     1.54    -1.48     2.34    -0.21     2.43    -1.45     2.93     0.71    -0.48    -0.35     1.24     1.01    -0.09     1.11     0.76     1.55     0.44     1.31     0.87     2.24    -0.82     1.04
        HE2304-4153       58      0.50    -2.15     0.10    -2.27     0.95    -0.95     1.04    -2.19     1.96     0.38    -2.17    -1.39    -0.40     0.02    -1.90    -0.05    -0.96     0.48    -1.32     0.20    -0.88     1.13    -2.59    -0.08
        HE2311+0129       58      0.95    -1.94     0.63    -1.97     1.52    -0.62     1.58    -1.89     2.40     0.58    -1.31    -0.77     0.41     0.59    -1.02     0.60    -0.16     1.04    -0.54     0.74    -0.12     1.66    -1.63     0.64
        HE2314-1554       52      0.91    -1.48     0.77    -1.34     1.54    -0.11     1.68    -1.30     2.51     1.18    -1.20    -0.16     0.44     1.12    -0.93     1.17    -0.08     1.61    -0.44     1.34     0.01     2.27    -1.66     1.10
        HE2319-0852       36      0.77    -1.52     0.44    -1.57     1.14    -0.40     1.30    -1.57     2.28     1.06    -1.75    -0.61    -0.03     0.75    -1.53     0.68    -0.50     1.30    -0.95     0.93    -0.53     1.84    -2.24     0.63
        HE2325-0755       57      1.61    -1.22     1.25    -1.29     1.99    -0.08     2.17    -1.23     2.67     0.91    -0.78    -0.18     0.81     1.06    -0.35     1.33     0.46     1.73    -0.00     1.34     0.52     2.36    -1.10     1.24
        HE2326+0038       54      1.06    -1.84     0.72    -1.90     1.50    -0.64     1.66    -1.82     2.31     0.48    -1.33    -0.80     0.29     0.47    -0.97     0.64    -0.21     0.98    -0.57     0.70    -0.15     1.62    -1.77     0.50
        HE2327-5642       69      0.69    -2.03     0.49    -1.95     1.20    -0.78     1.38    -1.92     2.23     0.58    -1.58    -0.88     0.07     0.42    -1.33     0.45    -0.49     0.87    -0.72     0.73    -0.29     1.65    -1.99     0.45
        HE2329-3702       38      2.16    -1.35     1.86    -1.38     2.58    -0.18     2.79    -1.30     3.24     0.80    -0.22    -0.31     1.41     0.97     0.15     1.14     1.13     1.71     0.64     1.30     1.18     2.33    -0.49     1.16
        HE2333-1358       40      0.99    -1.34     0.73    -1.32     1.42    -0.16     1.64    -1.27     2.44     1.18    -1.40    -0.30     0.33     1.08    -1.05     1.12    -0.20     1.57    -0.65     1.19    -0.20     2.13    -1.81     1.02
        HE2334-0604       72      0.57    -1.69     0.13    -1.85     1.03    -0.48     1.04    -1.80     2.00     0.81    -1.92    -0.75    -0.26     0.55    -1.75     0.49    -0.80     1.03    -1.28     0.63    -0.73     1.67    -2.34     0.56
       HE2335-5958B       37      1.89    -1.46     1.55    -1.51     2.44    -0.15     2.60    -1.33     3.00     0.73    -0.48    -0.39     1.12     0.84    -0.10     1.05     0.74     1.49     0.40     1.23     0.85     2.16    -0.81     1.01
        HE2338-1311       20      2.02    -0.80     1.73    -0.80     2.48     0.42     2.65    -0.74     3.25     1.51    -0.09     0.53     1.42     1.68     0.13     1.82     0.98     2.26     0.61     1.97     1.18     3.03    -0.61     1.74
        HE2338-1618       40      1.62    -1.41     1.30    -1.44     2.07    -0.20     2.27    -1.33     2.85     0.90    -0.63    -0.22     1.06     1.11    -0.24     1.24     0.62     1.68     0.11     1.26     0.64     2.28    -0.99     1.15
        HE2345-1919       44      1.61    -1.59     1.33    -1.60     2.08    -0.37     2.27    -1.51     3.02     0.88    -0.28    -0.06     1.33     1.19     0.10     1.39     0.95     1.83     0.49     1.46     1.02     2.48    -0.66     1.30
        HE2347-1254       80      1.89    -1.95     1.73    -1.83     2.33    -0.76     2.54    -1.88     2.92     0.14    -0.38    -0.79     1.18     0.40     0.05     0.71     0.91     1.16     0.42     0.75     0.85     1.67    -0.73     0.59
        HE2347-1334       81      0.00    -3.12    -0.43    -3.27     0.39    -1.98     0.57    -3.13     1.76    -0.29    -2.39    -2.08    -0.70    -0.75    -2.22    -0.84    -1.27    -0.30    -1.64    -0.59    -1.20     0.34    -2.76    -0.72
        HE2347-1448       43      2.38    -0.98     2.10    -0.98     2.85     0.25     3.10    -0.84     3.35     1.06     0.13     0.20     1.72     1.43     0.46     1.61     1.36     2.10     1.01     1.82     1.46     2.76    -0.35     1.45
