      Star               S/N    ab(Cr)  [Cr/Fe]   ab(Mn)  [Mn/Fe]   ab(Co)  [Co/Fe]   ab(Ni)  [Ni/Fe]   ab(Zn)  [Zn/Fe]    ab(Y)   [Y/Fe]   ab(Zr)  [Zr/Fe]   ab(La)  [La/Fe]   ab(Ce)  [Ce/Fe]   ab(Nd)  [Nd/Fe]   ab(Sm)  [Sm/Fe]   ab(Eu)  [Eu/Fe]
        HE0143-1135       43      1.60    -1.94     1.42    -1.84     2.10    -0.69     2.39    -1.73     3.07     0.60    -0.18    -0.29     1.37     0.90     0.11     1.07     0.96     1.51     0.55     1.18     0.97     2.09    -0.56     1.06
        HE0143-4108       70      0.78    -2.27     0.48    -2.29     1.28    -1.02     1.42    -2.20     2.28     0.30    -1.49    -1.10     0.25     0.27    -1.11     0.34    -0.25     0.79    -0.72     0.40    -0.19     1.42    -1.89     0.23
        HE0143-4146       45      0.71    -2.01     0.38    -2.07     1.20    -0.78     1.33    -1.98     2.33     0.67    -1.83    -1.13    -0.02     0.32    -1.42     0.35    -0.54     0.82    -0.94     0.51    -0.47     1.46    -2.13     0.31
        HE0157-3335       81      0.41    -2.17    -0.02    -2.33     0.90    -0.93     0.94    -2.23     1.95     0.43    -1.96    -1.12    -0.30     0.18    -1.68     0.23    -0.82     0.68    -1.21     0.37    -0.78     1.29    -2.38     0.19
        HE0200-0955       39      1.25    -1.96     0.97    -1.95     1.66    -0.79     1.90    -1.88     2.61     0.47    -1.11    -0.88     0.62     0.48    -0.73     0.56     0.12     1.00    -0.33     0.63     0.19     1.64    -1.45     0.50
        HE0202-2204       82      1.05    -2.64     0.76    -2.65     1.53    -1.41     1.67    -2.60     2.28    -0.34    -1.60    -1.86     0.08    -0.54    -1.29    -0.48    -0.39     0.01    -0.78    -0.30    -0.31     0.66    -1.97    -0.50
        HE0231-4016       39      2.09    -1.50     1.90    -1.41     2.63    -0.21     2.81    -1.36     3.14     0.62    -0.17    -0.33     1.40     0.89     0.13     1.04     0.98     1.48     0.64     1.22     1.06     2.13    -0.59     0.98
        HE0240-0807       50      0.56    -2.44     0.22    -2.49     0.96    -1.28     1.09    -2.48     2.12     0.20    -1.80    -1.36    -0.13    -0.05    -1.63    -0.12    -0.68     0.42    -1.14     0.04    -0.62     1.05    -2.22    -0.05
        HE0240-6105       73      0.38    -2.05     0.04    -2.11     0.91    -0.78     1.01    -2.01     1.76     0.39    -2.15    -1.16    -0.48     0.15    -1.90     0.16    -0.98     0.68    -1.42     0.31    -0.88     1.34    -2.61     0.12
        HE0243-0753       71      0.83    -2.35     0.48    -2.42     1.18    -1.25     1.34    -2.42     2.21     0.10    -1.48    -1.23     0.06    -0.05    -1.31     0.01    -0.36     0.55    -0.83     0.16    -0.39     1.09    -1.95     0.03
        HE0243-5238       60      0.80    -1.83     0.59    -1.75     1.40    -0.47     1.46    -1.75     2.32     0.77    -1.47    -0.67     0.27     0.72    -1.20     0.67    -0.25     1.22    -0.61     0.93    -0.17     1.86    -1.82     0.71
        HE0244-4111       46      1.50    -1.61     1.26    -1.58     2.04    -0.32     2.04    -1.65     2.73     0.69    -0.67    -0.35     0.96     0.91    -0.38     1.01     0.56     1.54     0.12     1.18     0.57     2.12    -1.09     0.96
        HE0248+0039       52      1.10    -2.04     0.81    -2.05     1.62    -0.77     1.78    -1.94     2.51     0.44    -1.15    -0.86     0.40     0.33    -0.96     0.40     0.01     0.96    -0.36     0.67     0.08     1.60    -1.64     0.38
        HE0256-1109       16      2.54    -0.40     2.29    -0.37     3.01     0.82     3.18    -0.34     3.59     1.72     0.50     0.99     1.95     2.08     0.68     2.24     1.54     2.69     1.13     2.36     1.56     3.28     0.04     2.26
        HE0300-0751       33      1.29    -2.12     1.16    -1.96     1.84    -0.82     2.07    -1.92     2.76     0.43    -0.86    -0.83     0.88     0.54    -0.49     0.61     0.36     1.05     0.02     0.78     0.45     1.71    -1.29     0.47
        HE0305-4520       56      0.49    -2.26     0.31    -2.17     1.11    -0.89     1.22    -2.12     2.10     0.41    -1.81    -1.13    -0.22     0.10    -1.54     0.20    -0.70     0.63    -1.05     0.37    -0.61     1.30    -2.26     0.14
        HE0308-1154       34      0.98    -1.87     0.73    -1.84     1.52    -0.58     1.56    -1.87     2.47     0.69    -1.30    -0.72     0.25     0.47    -1.13     0.52    -0.28     0.96    -0.64     0.68    -0.21     1.60    -1.75     0.56
        HE0315+0000       43      0.99    -1.95     0.64    -2.02     1.36    -0.83     1.60    -1.92     2.28     0.41    -1.46    -0.97     0.18     0.31    -1.09     0.47    -0.23     0.92    -0.70     0.53    -0.19     1.53    -1.85     0.37
        HE0316+0214       35      0.64    -1.90     0.30    -1.96     1.14    -0.65     1.14    -1.98     2.25     0.78    -1.71    -0.81    -0.08     0.45    -1.58     0.38    -0.68     0.87    -1.10     0.53    -0.63     1.49    -2.23     0.39
