     State    L_A 2S_A+1      n      l  E_j^X  E_lim    E_j   N_eq       Core    L_c 2S_c+1          G
   Fe+.a6S      0      6      0      0  86236      0  80153      0    Fe+.a6S      0      6      0.000
   Fe+.a4G      4      4      0      0  88669      0  82586      0    Fe+.a4G      4      4      0.000
   Fe+.b2P      1      2      0      0  89088      0  83005      0    Fe+.b2P      1      2      0.000
   Fe+.b2H      5      2      0      0  89172      0  83089      0    Fe+.b2H      5      2      0.000
   Fe+.a2F      3      2      0      0  90365      0  84282      0    Fe+.a2F      3      2      0.000
   Fe+.b2G      4      2      0      0  93474      0  87391      0    Fe+.b2G      4      2      0.000
   Fe+.b4D      2      4      0      0  94338      0  88255      0    Fe+.b4D      2      4      0.000
   Fe+.b2F      3      2      0      0  94838      0  88755      0    Fe+.b2F      3      2      0.000
   Fe+.a2I      6      2      0      0  95810      0  89727      0    Fe+.a2I      6      2      0.000
   Fe+.c2G      4      2      0      0  96401      0  90318      0    Fe+.c2G      4      2      0.000
   Fe+.b2D      2      2      0      0  99121      0  93038      0    Fe+.b2D      2      2      0.000
   Fe+.a2S      0      2      0      0 100145      0  94062      0    Fe+.a2S      0      2      0.000
   Fe+.c2D      2      2      0      0 101103      0  95020      0    Fe+.c2D      2      2      0.000
  Fe+.d2D1      2      2      0      0 110812      0 104729      0   Fe+.d2D1      2      2      0.000
