
Collection of rates and branching fractions of atom-hydrogen collisions at low energies by Barklem and collegues
(Uppsala University) determined from the LCAO model.

The data set is limited to the Mutual Neutralization channel starting from ions in their ground state,
   A+ + H-  --->  A* + H + E_KER
where A* denotes the atom in a possibly excited state and E_KER is the kinetic energy release in the reaction.

Kinetic energy releases can be derived from the listed energy levels (which are LS-term averaged energies) through
   E_KER = E_i(A) - E_ea(H) + E_LS(A)
where E_i is the (first) ionization energy of atom A (should be between term-averaged levels), E_ea is the
electron affinity of hydrogen and E_LS the term-averaged excitation energy of atom A.

Note that these rates, and the derived branching fractions, asssume a Maxwellian velocity distribution
of the reactants.

References: see list under inelastic collisions at: https://github.com/barklem/public-data

Compiled by Jon Grumer, Uppsala University, 2020

  A+H                                         T = 1000 K                 T = 3000 K                 T = 7000 K
  ------- -------------  ------------    ------------------         ------------------         ------------------
  Li+H                        E[cm-1]    Rate[-1]     BF[%]         Rate[-1]     BF[%]         Rate[-1]     BF[%]
  Li+.1s2                         0.0
  ----->  3d.2D              105134.4    1.670e-09     0.68         1.070e-09     0.67         8.160e-10     0.65
  ----->  4p.2So             106477.8    7.170e-11     0.03         4.660e-11     0.03         3.610e-11     0.03
  ----->  4p.4Do             106825.4    2.433e-10     0.10         1.585e-10     0.10         1.235e-10     0.10
  ----->  4p.4Po             107015.3    7.000e-11     0.03         4.590e-11     0.03         3.590e-11     0.03
  ----->  4p.2Do             107225.8    2.530e-11     0.01         1.660e-11     0.01         1.305e-11     0.01
  ----->  4p.4So             107445.6    3.740e-12     0.00         2.470e-12     0.00         1.960e-12     0.00
  ----->  4p.2Po             107616.3    2.310e-12     0.00         1.540e-12     0.00         1.220e-12     0.00
  ----->  5s.4P              109886.9    0.000e+00     0.00         0.000e+00     0.00         0.000e+00     0.00
  ----->  5s.2P              110083.4    0.000e+00     0.00         0.000e+00     0.00         0.000e+00     0.00
  ----->  N+.2p2.3P              88.9    0.000e+00     0.00         0.000e+00     0.00         0.000e+00     0.00
  ----->  N+.2p2.1D           15316.2    0.000e+00     0.00         0.000e+00     0.00         0.000e+00     0.00


  O+H                         E[cm-1]    Rate[-1]     BF[%]         Rate[-1]     BF[%]         Rate[-1]     BF[%]
  O+.4So                          0.0
  ----->  2p4.3P                  0.0    0.000e+00     0.00         0.000e+00     0.00         0.000e+00     0.00
  ----->  2p4.1D              15790.0    0.000e+00     0.00         0.000e+00     0.00         0.000e+00     0.00
  ----->  2p4.1S              33715.0    0.000e+00     0.00         0.000e+00     0.00         0.000e+00     0.00
  ----->  3s.5So              73690.0    5.510e-15     0.00         6.490e-15     0.00         2.130e-14     0.00
  ----->  3s.3So              76717.0    7.120e-12     0.00         6.300e-12     0.01         9.830e-12     0.01
  ----->  2p4.3P_H*           82259.0    4.770e-13     0.00         3.470e-13     0.00         3.400e-13     0.00
  ----->  3p.5P               86551.0    5.030e-09     3.16         3.700e-09     3.60         3.740e-09     4.63
  ----->  3p.3P               88553.0    4.100e-08    25.75         2.730e-08    26.57         2.290e-08    28.36
  ----->  4s.5So              95399.0    6.420e-08    40.32         4.060e-08    39.52         3.060e-08    37.89
  ----->  4s.3So              96147.0    2.670e-08    16.77         1.690e-08    16.45         1.270e-08    15.73
  ----->  3d.5Do              97343.0    1.350e-08     8.48         8.630e-09     8.40         6.550e-09     8.11
  ----->  3d.3Do              97411.0    7.810e-09     4.91         4.970e-09     4.84         3.780e-09     4.68
  ----->  4p.5P               99016.0    8.920e-10     0.56         5.770e-10     0.56         4.460e-10     0.55
  ----->  4p.3P               99603.0    6.900e-11     0.04         4.500e-11     0.04         3.510e-11     0.04
  ----->  3s.3Do             101065.0    0.000e+00     0.00         0.000e+00     0.00         0.000e+00     0.00
  ----->  5s.5So             102039.0    0.000e+00     0.00         0.000e+00     0.00         0.000e+00     0.00
  ----->  5s.3So             102334.0    0.000e+00     0.00         0.000e+00     0.00         0.000e+00     0.00
  ----->  3s.1Do             102584.0    0.000e+00     0.00         0.000e+00     0.00         0.000e+00     0.00
