  Li+H                       E[eV]      KER[eV]     Rate[-1]    BF[%]
  ----->  3Go             5.462372     0.611553    4.604e-10     0.14


  Mn+H                       E[eV]      KER[eV]     Rate[-1]    BF[%]
  Mn+.a7S                 0.000000
  ----->  y6Po            4.430823     2.249020    1.030e-08     4.14
  ----->  e8S             4.888821     1.791022    4.550e-08    18.31
  ----->  e6S             5.133318     1.546526    7.490e-08    30.14
  ----->  y8Po            5.704141     0.975702    6.150e-08    24.75
  ----->  e8D             5.791302     0.888541    2.540e-08    10.22
  ----->  e6D             5.853542     0.826301    1.710e-08     6.88
  ----->  w6Po            5.897432     0.782411    1.370e-08     5.51


  Fe+H                       E[eV]      KER[eV]     Rate[-1]    BF[%]
  Fe+.a6D                 0.000000
  ----->  z5Po            3.586367     3.561906    4.750e-10     0.18
  ----->  y5Po            4.540673     2.607600    4.720e-09     1.79
  ----->  x5Do            4.905807     2.242467    5.030e-09     1.90
  ----->  x5Fo            4.989372     2.158901    1.250e-08     4.73
  ----->  e7D             5.309499     1.838774    3.198e-08    12.11
  ----->  e5D             5.535894     1.612379    7.320e-08    27.72
  ----->  n7Do            6.106841     1.041432    2.506e-08     9.49
  ----->  n7Fo            6.170817     0.977456    2.676e-08    10.13
  ----->  n7Po            6.211732     0.936541    9.260e-09     3.51
  ----->  f5D             6.222023     0.926250    3.585e-09     1.36
  ----->  e7P             6.225122     0.923151    3.840e-09     1.45
  ----->  f7D             6.239876     0.908397    4.320e-09     1.64
  ----->  e5G             6.255994     0.892279    5.550e-09     2.10
  ----->  e7F             6.259466     0.888807    2.181e-08     8.26
  ----->  e7G             6.287982     0.860291    5.580e-09     2.11
  ----->  e5S             6.291702     0.856571    4.680e-10     0.18
  ----->  t5Do            6.321830     0.826443    3.970e-09     1.50
  ----->  u5Fo            6.326045     0.822228    1.674e-08     6.34
  ----->  f5F             6.327409     0.820864    7.077e-09     2.68
  ----->  e7S             6.343899     0.804374    3.570e-10     0.14
  ----->  u5Po            6.379855     0.768419    1.324e-09     0.50
  ----->  e5P             6.391137     0.757136    4.100e-10     0.16


  Rb+H                       E[eV]      KER[eV]     Rate[-1]    BF[%]
  Rb+                     0.000000
  ----->  5p              1.559473     1.863460    1.370e-08     8.51
  ----->  4d              2.399714     1.023219    9.210e-08    57.24
  ----->  6s              2.496050     0.926884    5.500e-08    34.18
